file	Id	frame	slice	v7	v3	v1	r7	r3	r1	esed	r_esed
17_slice000_frame000-image.png	17	0	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
17_slice000_frame001-image.png	17	1	0	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE
17_slice000_frame002-image.png	17	2	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
17_slice000_frame003-image.png	17	3	0	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
17_slice000_frame004-image.png	17	4	0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
17_slice000_frame005-image.png	17	5	0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
17_slice000_frame006-image.png	17	6	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
17_slice000_frame007-image.png	17	7	0	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE
17_slice000_frame008-image.png	17	8	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
17_slice000_frame009-image.png	17	9	0	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
17_slice000_frame010-image.png	17	10	0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
17_slice000_frame011-image.png	17	11	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
17_slice000_frame012-image.png	17	12	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
17_slice000_frame013-image.png	17	13	0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
17_slice000_frame014-image.png	17	14	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
17_slice000_frame015-image.png	17	15	0	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE
17_slice000_frame016-image.png	17	16	0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
17_slice000_frame017-image.png	17	17	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
17_slice000_frame018-image.png	17	18	0	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
17_slice000_frame019-image.png	17	19	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
17_slice000_frame020-image.png	17	20	0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
17_slice000_frame021-image.png	17	21	0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
17_slice000_frame022-image.png	17	22	0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
17_slice000_frame023-image.png	17	23	0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
17_slice000_frame024-image.png	17	24	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
17_slice001_frame000-image.png	17	0	1	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
17_slice001_frame001-image.png	17	1	1	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE
17_slice001_frame002-image.png	17	2	1	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
17_slice001_frame003-image.png	17	3	1	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
17_slice001_frame004-image.png	17	4	1	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
17_slice001_frame005-image.png	17	5	1	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
17_slice001_frame006-image.png	17	6	1	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
17_slice001_frame007-image.png	17	7	1	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE
17_slice001_frame008-image.png	17	8	1	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
17_slice001_frame009-image.png	17	9	1	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
17_slice001_frame010-image.png	17	10	1	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
17_slice001_frame011-image.png	17	11	1	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
17_slice001_frame012-image.png	17	12	1	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
17_slice001_frame013-image.png	17	13	1	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE
